model,r_squared,adj_r_squared
modclaro,0.8278098525605153,0.8220381157748342
modpred,0.8925782862323256,0.8773270552653101
mod1,0.13292907308351204,0.12821673108940068
mod2,0.15619109773011305,0.1469691425140487
mod3,0.8880143633064302,0.8836104337735371
mod4,0.9129783213384028,0.9069421355352862
mod5,0.9268699823031483,0.9194699209885859
mod5_poly,0.950199101052404,0.9409412416326586
